dataset,label,embedding_model,ml_model,AUC,AUPR,Accuracy,F1_macro,F1_micro,MCC,Precision,Recall,AUPR_class0,AUPR_class1,AUPR_class2,AUPR_class3,AUPR_class4
bace,,ChemBERTa_77M_MLM_FL,CatBoost,0.818,0.833,0.678,0.678,0.678,0.406,0.702,0.705,,,,,
bace,,ChemBERTa_77M_MLM_FL,LightGBM,0.816,0.819,0.664,0.664,0.664,0.395,0.698,0.697,,,,,
bace,,ChemBERTa_77M_MLM_FL,XGBoost,0.812,0.838,0.684,0.684,0.684,0.416,0.706,0.71,,,,,
bace,,ChemBERTa_77M_MLM_WL,CatBoost,0.85,0.868,0.717,0.717,0.717,0.48,0.737,0.743,,,,,
bace,,ChemBERTa_77M_MLM_WL,LightGBM,0.83,0.859,0.717,0.717,0.717,0.48,0.737,0.743,,,,,
bace,,ChemBERTa_77M_MLM_WL,XGBoost,0.85,0.872,0.717,0.717,0.717,0.48,0.737,0.743,,,,,
bace,,ChemBERTa_77M_MTR_FL,CatBoost,0.847,0.896,0.717,0.716,0.717,0.466,0.729,0.737,,,,,
bace,,ChemBERTa_77M_MTR_FL,LightGBM,0.815,0.88,0.724,0.722,0.724,0.476,0.733,0.743,,,,,
bace,,ChemBERTa_77M_MTR_FL,XGBoost,0.847,0.895,0.724,0.723,0.724,0.483,0.737,0.746,,,,,
bace,,ChemBERTa_77M_MTR_WL,CatBoost,0.822,0.874,0.691,0.69,0.691,0.419,0.706,0.713,,,,,
bace,,ChemBERTa_77M_MTR_WL,LightGBM,0.79,0.861,0.684,0.684,0.684,0.409,0.702,0.707,,,,,
bace,,ChemBERTa_77M_MTR_WL,XGBoost,0.807,0.871,0.697,0.697,0.697,0.443,0.719,0.724,,,,,
bace,,MolFormer_Finetuned_FL,CatBoost,0.863,0.892,0.763,0.762,0.763,0.557,0.773,0.784,,,,,
bace,,MolFormer_Finetuned_FL,LightGBM,0.875,0.895,0.737,0.736,0.737,0.517,0.755,0.762,,,,,
bace,,MolFormer_Finetuned_FL,XGBoost,0.873,0.901,0.743,0.743,0.743,0.527,0.76,0.768,,,,,
bace,,Molformer_Finetuned_WL,CatBoost,0.842,0.877,0.757,0.755,0.757,0.534,0.761,0.773,,,,,
bace,,Molformer_Finetuned_WL,LightGBM,0.858,0.892,0.77,0.768,0.77,0.561,0.774,0.787,,,,,
bace,,Molformer_Finetuned_WL,XGBoost,0.854,0.892,0.757,0.755,0.757,0.534,0.761,0.773,,,,,
bbbp,,ChemBERTa_77M_MLM_FL,CatBoost,0.927,0.941,0.875,0.858,0.875,0.728,0.886,0.844,,,,,
bbbp,,ChemBERTa_77M_MLM_FL,LightGBM,0.926,0.942,0.896,0.882,0.896,0.776,0.911,0.866,,,,,
bbbp,,ChemBERTa_77M_MLM_FL,XGBoost,0.926,0.943,0.875,0.857,0.875,0.73,0.89,0.841,,,,,
bbbp,,ChemBERTa_77M_MLM_WL,CatBoost,0.925,0.929,0.87,0.853,0.87,0.716,0.877,0.84,,,,,
bbbp,,ChemBERTa_77M_MLM_WL,LightGBM,0.921,0.94,0.865,0.844,0.865,0.707,0.883,0.826,,,,,
bbbp,,ChemBERTa_77M_MLM_WL,XGBoost,0.916,0.926,0.875,0.856,0.875,0.732,0.896,0.838,,,,,
bbbp,,ChemBERTa_77M_MTR_FL,CatBoost,0.934,0.96,0.854,0.836,0.854,0.68,0.856,0.824,,,,,
bbbp,,ChemBERTa_77M_MTR_FL,LightGBM,0.914,0.926,0.854,0.837,0.854,0.68,0.853,0.827,,,,,
bbbp,,ChemBERTa_77M_MTR_FL,XGBoost,0.919,0.929,0.849,0.829,0.849,0.668,0.852,0.817,,,,,
bbbp,,ChemBERTa_77M_MTR_WL,CatBoost,0.917,0.946,0.87,0.854,0.87,0.715,0.873,0.843,,,,,
bbbp,,ChemBERTa_77M_MTR_WL,LightGBM,0.879,0.887,0.859,0.842,0.859,0.692,0.861,0.831,,,,,
bbbp,,ChemBERTa_77M_MTR_WL,XGBoost,0.901,0.913,0.854,0.836,0.854,0.68,0.856,0.824,,,,,
bbbp,,MolFormer_Finetuned_FL,CatBoost,0.937,0.942,0.901,0.889,0.901,0.785,0.91,0.876,,,,,
bbbp,,MolFormer_Finetuned_FL,LightGBM,0.935,0.936,0.891,0.876,0.891,0.763,0.902,0.862,,,,,
bbbp,,MolFormer_Finetuned_FL,XGBoost,0.94,0.94,0.906,0.895,0.906,0.798,0.918,0.881,,,,,
bbbp,,Molformer_Finetuned_WL,CatBoost,0.946,0.96,0.885,0.872,0.885,0.75,0.889,0.861,,,,,
bbbp,,Molformer_Finetuned_WL,LightGBM,0.943,0.954,0.88,0.862,0.88,0.743,0.9,0.845,,,,,
bbbp,,Molformer_Finetuned_WL,XGBoost,0.95,0.957,0.87,0.85,0.87,0.718,0.887,0.834,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,CatBoost,0.981,0.879,0.958,0.873,0.958,0.746,0.873,0.873,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,LightGBM,0.918,0.861,0.944,0.818,0.944,0.639,0.845,0.796,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,XGBoost,0.954,0.883,0.965,0.89,0.965,0.782,0.905,0.877,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,CatBoost,0.983,0.93,0.965,0.898,0.965,0.796,0.885,0.912,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,LightGBM,0.989,0.939,0.979,0.934,0.979,0.869,0.951,0.919,,,,,
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,XGBoost,0.983,0.926,0.972,0.915,0.972,0.831,0.915,0.915,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,CatBoost,0.981,0.916,0.972,0.915,0.972,0.831,0.915,0.915,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,LightGBM,0.98,0.913,0.979,0.934,0.979,0.869,0.951,0.919,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,XGBoost,0.975,0.907,0.965,0.898,0.965,0.796,0.885,0.912,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,CatBoost,0.969,0.896,0.979,0.934,0.979,0.869,0.951,0.919,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,LightGBM,0.982,0.924,0.979,0.934,0.979,0.869,0.951,0.919,,,,,
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,XGBoost,0.973,0.912,0.979,0.934,0.979,0.869,0.951,0.919,,,,,
clintox,CT_TOX,MolFormer_Finetuned_FL,CatBoost,0.986,0.931,0.986,0.955,0.986,0.913,0.992,0.923,,,,,
clintox,CT_TOX,MolFormer_Finetuned_FL,LightGBM,0.997,0.975,0.979,0.929,0.979,0.867,0.989,0.885,,,,,
clintox,CT_TOX,MolFormer_Finetuned_FL,XGBoost,0.995,0.961,0.979,0.929,0.979,0.867,0.989,0.885,,,,,
clintox,CT_TOX,Molformer_Finetuned_WL,CatBoost,0.992,0.948,0.972,0.915,0.972,0.831,0.915,0.915,,,,,
